               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093325,             0.02846,            0.053817,           0.0034687,             0.66222,            0.031286,             0.01035,            0.059812,             0.01715,            0.041031,              0.0712,              0.0032,              0.0032
                   1,            0.062959,            0.028883,            0.043143,             0.34226,             0.23882,             0.16717,            0.056718,             0.05496,            0.013484,            0.024401,            0.041371,           0.0063713,           0.0063713
                   2,            0.060953,            0.023093,            0.037315,             0.37272,             0.38874,             0.16843,            0.064798,            0.052203,            0.010436,            0.017281,            0.011412,           0.0094119,           0.0094119
                   3,            0.059325,            0.020766,            0.030775,             0.49886,             0.40163,             0.39534,             0.18306,            0.053558,           0.0070714,            0.015567,            0.009406,            0.009406,            0.009406
                   4,            0.057235,            0.020302,            0.026785,             0.58043,             0.53777,             0.53072,              0.2608,            0.050767,           0.0084495,            0.011616,            0.009406,            0.009406,            0.009406
                   5,            0.052207,            0.018636,            0.021505,             0.64207,             0.49076,             0.64211,             0.38193,            0.042525,           0.0080225,            0.010649,            0.009208,            0.009208,            0.009208
                   6,            0.051339,            0.019581,             0.02259,             0.64314,             0.49133,             0.57718,             0.25805,            0.042628,           0.0080942,            0.010226,             0.00901,             0.00901,             0.00901
                   7,            0.045946,            0.018632,            0.018042,             0.57842,             0.60338,              0.6264,             0.31965,            0.043232,           0.0078596,           0.0095336,            0.008812,            0.008812,            0.008812
                   8,            0.044355,            0.018421,            0.016854,             0.53974,             0.53451,              0.5655,             0.33442,            0.039718,           0.0079954,            0.008393,            0.008614,            0.008614,            0.008614
                   9,            0.041959,             0.01756,            0.016488,             0.73175,             0.59213,             0.58773,             0.33252,            0.038622,           0.0087878,            0.010019,            0.008416,            0.008416,            0.008416
                  10,            0.048777,             0.01763,            0.015196,             0.68505,             0.60152,             0.75317,             0.37257,            0.036722,           0.0083326,           0.0084421,            0.008218,            0.008218,            0.008218
                  11,            0.041308,            0.017696,              0.0149,             0.73411,             0.59301,             0.60182,             0.30374,            0.039251,           0.0077813,           0.0077978,             0.00802,             0.00802,             0.00802
                  12,            0.047828,            0.018359,            0.011855,              0.7307,             0.58168,             0.74679,             0.32779,            0.036364,           0.0079095,           0.0077303,            0.007822,            0.007822,            0.007822
                  13,            0.043588,            0.018109,            0.015273,             0.70285,             0.77812,             0.79186,             0.46883,            0.035183,           0.0081389,           0.0083217,            0.007624,            0.007624,            0.007624
                  14,            0.041415,            0.018263,            0.016531,             0.69156,             0.73037,             0.81784,             0.47388,            0.035234,           0.0083673,             0.01061,            0.007426,            0.007426,            0.007426
                  15,            0.033873,            0.017315,            0.012775,             0.70517,             0.70429,              0.8058,              0.5092,            0.033616,           0.0082318,            0.011674,            0.007228,            0.007228,            0.007228
                  16,            0.038961,             0.01754,            0.014453,              0.6572,             0.81431,             0.81936,             0.39774,            0.035431,           0.0082469,             0.01104,             0.00703,             0.00703,             0.00703
                  17,            0.044179,            0.017022,            0.011155,             0.65529,             0.84389,             0.82202,             0.47417,            0.034594,            0.008424,           0.0095631,            0.006832,            0.006832,            0.006832
                  18,            0.039102,            0.016443,            0.011751,             0.69576,             0.76629,             0.84666,             0.48606,            0.033493,           0.0083692,           0.0087408,            0.006634,            0.006634,            0.006634
                  19,            0.036861,            0.016729,             0.01168,             0.63332,             0.82885,             0.81319,             0.43683,            0.035741,           0.0082748,           0.0072542,            0.006436,            0.006436,            0.006436
                  20,            0.039459,            0.017162,            0.010743,             0.63529,             0.86897,             0.81925,             0.41289,            0.035791,           0.0083154,           0.0068051,            0.006238,            0.006238,            0.006238
                  21,            0.036901,            0.016276,            0.009317,             0.69649,             0.80348,             0.82593,             0.46254,             0.03701,           0.0080934,           0.0076098,             0.00604,             0.00604,             0.00604
                  22,            0.035782,            0.016846,              0.0104,             0.67429,             0.80698,             0.81014,             0.48187,            0.035641,           0.0081145,           0.0064101,            0.005842,            0.005842,            0.005842
                  23,             0.03758,            0.017197,            0.010311,             0.75939,             0.81925,              0.8239,             0.50604,            0.033491,           0.0080933,           0.0061264,            0.005644,            0.005644,            0.005644
                  24,            0.038112,            0.015855,           0.0085102,             0.77891,             0.78101,             0.81832,             0.52023,            0.032633,           0.0080631,           0.0060885,            0.005446,            0.005446,            0.005446
                  25,            0.033472,            0.015384,            0.010447,             0.81751,              0.7351,             0.82138,             0.52571,             0.03242,           0.0079476,           0.0063356,            0.005248,            0.005248,            0.005248
                  26,            0.038171,            0.016946,            0.011895,             0.69076,             0.79585,             0.79713,             0.47405,            0.031899,           0.0081644,           0.0066888,             0.00505,             0.00505,             0.00505
                  27,            0.032105,            0.015964,            0.008551,             0.73502,             0.83639,             0.82171,             0.49972,            0.031756,            0.007664,            0.006757,            0.004852,            0.004852,            0.004852
                  28,             0.03214,            0.014886,           0.0091282,             0.75933,              0.7717,             0.82962,             0.53689,            0.031377,            0.007854,             0.00644,            0.004654,            0.004654,            0.004654
                  29,            0.034642,            0.016981,           0.0088635,             0.73819,             0.82555,             0.83073,             0.48239,            0.030472,            0.008045,           0.0062374,            0.004456,            0.004456,            0.004456
                  30,            0.032481,             0.01644,           0.0095659,             0.77416,             0.86104,             0.86127,             0.46008,            0.030237,           0.0080351,           0.0054454,            0.004258,            0.004258,            0.004258
                  31,            0.030895,             0.01472,           0.0083646,              0.8029,             0.80651,              0.8677,             0.51524,            0.030456,           0.0080182,           0.0051285,             0.00406,             0.00406,             0.00406
                  32,            0.029939,            0.015394,           0.0071234,             0.82725,             0.81174,             0.88155,             0.52399,            0.027822,            0.008058,            0.005829,            0.003862,            0.003862,            0.003862
                  33,            0.029913,            0.015641,            0.007159,             0.82008,             0.78847,             0.85765,             0.52842,            0.028953,           0.0079614,            0.005981,            0.003664,            0.003664,            0.003664
                  34,            0.032823,            0.015101,            0.010021,             0.78375,             0.87793,             0.88078,             0.51652,            0.027429,           0.0079269,           0.0056299,            0.003466,            0.003466,            0.003466
                  35,            0.028054,            0.014655,           0.0076933,             0.74324,             0.84953,             0.85182,             0.50271,            0.029355,           0.0078843,           0.0057685,            0.003268,            0.003268,            0.003268
                  36,            0.030097,            0.014717,           0.0071556,             0.77511,              0.8183,             0.84298,             0.53677,            0.027388,           0.0080471,           0.0054319,             0.00307,             0.00307,             0.00307
                  37,            0.032491,            0.015446,            0.010319,             0.77616,             0.89457,             0.87532,             0.54701,            0.027689,           0.0080023,           0.0052829,            0.002872,            0.002872,            0.002872
                  38,            0.030949,            0.015835,           0.0069832,             0.77647,             0.86872,             0.87284,             0.55277,            0.027171,           0.0079026,           0.0053355,            0.002674,            0.002674,            0.002674
                  39,             0.03145,            0.014592,           0.0082544,             0.77554,             0.88574,             0.87417,             0.54711,            0.026468,           0.0079284,           0.0056772,            0.002476,            0.002476,            0.002476
                  40,            0.028157,            0.014707,           0.0064071,             0.81286,             0.83119,             0.87374,              0.5511,            0.026194,           0.0078479,           0.0062098,            0.002278,            0.002278,            0.002278
                  41,            0.029134,            0.014895,           0.0070945,             0.83717,             0.83675,             0.88932,             0.56805,            0.026257,           0.0077652,           0.0062772,             0.00208,             0.00208,             0.00208
                  42,            0.028117,            0.015004,           0.0055885,              0.7807,              0.8737,             0.88967,             0.56349,            0.025994,           0.0078309,            0.006023,            0.001882,            0.001882,            0.001882
                  43,            0.027693,            0.015102,           0.0070225,              0.8401,             0.83536,             0.88785,             0.55168,            0.026774,           0.0076652,           0.0062119,            0.001684,            0.001684,            0.001684
                  44,            0.024494,            0.014186,           0.0069998,             0.79923,             0.87521,             0.89507,             0.56705,            0.027223,           0.0076563,           0.0062072,            0.001486,            0.001486,            0.001486
                  45,            0.031064,            0.015081,           0.0067119,             0.79058,             0.88305,             0.89028,             0.55505,            0.027785,           0.0076381,           0.0057925,            0.001288,            0.001288,            0.001288
                  46,            0.022803,             0.01401,           0.0050178,             0.87233,             0.80472,             0.89299,             0.57266,             0.02715,           0.0077323,            0.005376,             0.00109,             0.00109,             0.00109
                  47,            0.022128,            0.014742,           0.0052657,              0.8291,             0.85155,             0.89015,             0.58749,            0.026886,           0.0077181,            0.005247,            0.000892,            0.000892,            0.000892
                  48,            0.023141,            0.013285,           0.0052538,             0.83066,             0.84966,             0.89554,             0.58745,            0.026488,           0.0077088,           0.0050163,            0.000694,            0.000694,            0.000694
                  49,            0.025873,            0.013931,           0.0064314,               0.827,             0.84894,             0.89266,             0.56806,             0.02633,            0.007737,           0.0049366,            0.000496,            0.000496,            0.000496
